ONNX model: C:\Users\Administrator\Documents\edge-ai\models\distilbart-cnn-12-6-onnx\distilbart-cnn-12-6.onnx
Model size: 1362.37 MB
Number of iterations: 100

Iteration	Inference Time (ms)	Memory Usage Delta (MB)
1	252.05	0.87
2	454.77	0.00
3	353.56	0.00
4	319.37	0.00
5	459.11	0.00
6	356.32	0.00
7	380.59	0.00
8	432.29	0.00
9	307.26	0.00
10	296.80	0.00
11	278.99	0.00
12	238.18	0.00
13	256.70	0.00
14	295.95	0.00
15	271.43	0.00
16	241.92	0.00
17	272.03	0.00
18	245.34	0.00
19	283.29	0.00
20	234.76	0.00
21	225.11	0.00
22	235.93	0.00
23	271.24	0.00
24	316.57	0.00
25	326.24	0.00
26	341.22	0.00
27	241.82	0.00
28	262.29	0.00
29	257.02	0.00
30	231.24	0.00
31	240.92	0.00
32	233.64	0.00
33	259.85	0.00
34	229.47	0.00
35	426.81	0.00
36	292.62	0.00
37	316.33	0.00
38	274.69	0.00
39	315.52	0.00
40	279.75	0.00
41	294.93	0.00
42	362.69	0.00
43	300.01	0.00
44	415.67	0.00
45	309.58	0.00
46	363.97	0.00
47	290.94	0.00
48	240.56	0.00
49	297.11	0.00
50	288.34	0.00
51	231.68	0.00
52	360.73	0.00
53	236.33	0.00
54	236.09	0.00
55	231.86	0.00
56	299.52	0.00
57	240.22	0.00
58	253.09	0.00
59	438.15	0.00
60	278.22	0.00
61	246.36	0.00
62	264.22	0.00
63	248.94	0.00
64	243.32	0.00
65	271.85	0.00
66	353.38	0.00
67	345.02	0.00
68	260.20	0.00
69	249.90	0.00
70	224.76	0.00
71	242.28	0.00
72	227.77	0.00
73	222.69	0.00
74	248.65	0.00
75	246.69	0.00
76	242.77	0.00
77	380.26	0.00
78	576.86	0.00
79	658.98	0.00
80	481.56	0.00
81	578.97	0.00
82	230.28	0.00
83	233.68	0.00
84	233.55	0.00
85	239.30	0.00
86	250.77	0.00
87	233.85	0.00
88	262.14	0.00
89	230.01	0.00
90	252.35	0.00
91	284.36	0.00
92	245.48	0.00
93	243.90	0.00
94	285.28	0.00
95	228.75	0.00
96	257.53	0.00
97	244.15	0.00
98	237.50	0.00
99	238.90	0.00
100	266.27	0.00

Average inference time: 292.92 ms
Median inference time: 262.22 ms
Max inference time: 658.98 ms
Min inference time: 222.69 ms
Average memory delta: 0.01 MB
